f0, f1
W, E
E, N
H, X
P, P
Z, N
O, K
B, T
R, X
A, R
R, K
P, Y
V, D
C, V
R, L
Y, P
A, Z
R, Y
I, T
T, Y
O, F
B, Q
I, B
B, Y
J, K
E, Z
W, C
W, E
U, H
T, R
D, M
L, U
I, R
D, R
V, N
M, X
M, O
K, T
V, P
L, L
B, I
M, F
R, E
M, Q
N, H
L, X
M, D
D, X
V, N
H, B
B, B
C, L
C, R
O, G
G, C
N, C
R, E
E, K
C, W
H, P
L, R
Q, G
Z, W
E, E
T, P
W, C
N, A
D, E
M, R
W, Z
P, M
Q, Z
J, R
R, K
H, D
A, C
A, Z
W, F
Q, Q
L, Q
U, E
H, M
M, A
E, D
S, Z
M, W
P, F
O, V
B, A
Q, S
Z, W
T, P
O, H
M, M
P, P
R, V
M, S
N, K
I, B
X, K
M, M
Y, J
S, A
H, E
I, G
F, X
I, P
V, R
D, H
S, Y
V, R
T, U
U, V
Q, H
T, R
D, F
P, C
K, Z
H, F
B, A
W, J
E, V
X, A
B, L
Q, D
F, G
I, J
B, W
G, D
R, N
R, S
Y, L
L, V
C, C
P, U
Y, V
B, C
Q, W
X, E
H, L
N, T
C, Q
I, D
W, L
K, T
G, V
I, N
C, J
T, J
R, D
T, K
F, U
K, K
L, W
U, J
A, D
A, U
Y, C
I, Z
E, B
T, R
Q, X
B, Q
S, R
N, H
K, R
O, H
T, X
A, H
N, X
S, L
F, O
U, Q
S, X
U, K
F, H
A, I
S, T
D, Z
H, C
O, N
T, E
A, U
P, G
U, S
Z, C
B, J
Q, J
B, Q
D, H
T, L
Z, U
Z, O
X, Q
N, P
J, H
U, S
R, S
N, G
I, P
V, J
C, S
V, C
B, X
M, L
J, N
P, N
K, G
M, L
L, Y
M, Z
V, D
D, S
D, S
W, D
F, M
T, Y
J, Y
P, K
D, O
B, D
J, Z
H, M
U, D
P, B
X, X
F, V
M, D
J, W
K, O
O, X
U, M
S, P
T, N
L, L
L, W
I, U
R, K
G, K
O, Y
X, T
Q, W
S, O
U, S
O, D
O, F
Q, O
B, O
E, M
X, D
Y, E
A, U
G, S
X, L
U, P
K, B
W, A
L, K
W, I
G, C
C, E
D, G
C, H
K, E
P, I
A, B
K, I
K, I
J, V
D, F
T, P
M, T
K, C
B, M
K, M
K, G
X, G
Z, R
G, O
U, H
K, C
Q, F
Z, J
Z, U
N, L
X, L
A, M
V, H
Z, A
Y, M
P, V
J, J
Q, P
N, B
T, O
H, K
D, D
O, H
L, P
Y, I
R, I
G, T
L, G
Z, I
L, P
A, R
Q, A
M, X
R, K
X, S
T, N
U, Q
C, A
V, R
R, J
V, V
J, E
T, S
A, M
Y, L
F, A
H, X
J, C
P, H
S, G
M, J
H, X
S, F
F, V
K, W
O, M
O, R
O, R
O, B
D, B
G, O
F, N
U, E
R, Z
S, N
G, O
L, Y
Q, Y
B, Y
L, Z
H, R
M, J
T, W
F, H
K, L
A, F
C, O
A, T
Z, L
B, G
E, I
Q, C
M, V
P, Q
I, G
C, G
I, B
I, U
Y, U
Q, T
Q, P
C, B
A, I
W, B
D, X
L, H
Q, B
R, O
H, J
C, T
G, P
R, A
J, U
W, Q
I, Y
U, L
I, F
C, P
B, U
F, O
Q, G
K, S
L, G
U, B
I, L
Y, T
I, X
U, D
I, I
J, A
P, R
B, N
V, W
K, F
F, X
U, I
R, S
Z, P
I, P
Z, Q
K, E
L, U
B, F
A, F
F, Q
G, T
Y, I
T, F
E, Z
J, B
A, C
H, F
P, T
B, A
F, E
X, S
I, O
E, A
V, X
A, R
J, U
C, Y
H, G
V, R
Y, Z
Z, W
W, B
D, Y
U, E
J, J
P, Z
G, B
Q, E
N, U
I, B
U, W
W, Z
X, F
C, M
R, B
N, T
Q, N
M, M
I, J
S, S
M, G
K, X
P, A
F, F
W, K
H, X
O, Y
J, O
D, C
L, J
P, M
Q, L
M, K
U, I
J, E
G, Q
J, C
V, N
Q, U
Y, C
B, A
F, F
I, H
V, R
H, S
Z, Z
T, T
X, A
H, V
U, K
K, P
R, M
N, T
D, K
F, T
M, N
U, T
S, L
U, I
E, U
S, F
L, O
J, P
D, Y
A, V
V, I
K, R
K, U
N, I
A, U
X, D
Y, I
Q, P
P, W
Z, F
K, N
E, C
O, L
X, C
C, O
A, R
M, E
B, Z
H, G
R, B
B, N
E, W
K, E
C, N
M, B
Y, W
D, F
L, S
M, P
Y, P
N, R
H, A
D, B
K, U
N, X
W, L
O, T
H, W
L, S
S, H
P, V
E, G
X, T
L, X
E, O
K, Y
G, W
H, Q
H, X
S, S
F, M
Z, O
Z, B
C, T
I, L
G, N
M, B
S, T
J, T
W, K
A, C
X, I
T, M
B, O
G, Y
D, V
V, E
A, C
H, N
K, C
T, R
D, J
F, A
R, F
S, V
V, Q
S, X
K, I
B, A
U, T
Y, J
G, C
K, Z
I, E
R, F
W, U
V, E
E, K
C, I
O, E
F, O
Y, D
F, J
E, K
I, K
L, B
V, Q
J, B
F, H
P, Z
C, N
Z, W
E, Y
P, Z
S, R
Z, S
I, Q
W, I
W, M
I, P
P, J
Q, G
P, Z
G, Q
X, I
T, T
Q, B
J, H
D, F
A, Y
P, Y
T, I
H, Q
T, N
Z, Q
H, A
W, I
G, O
X, R
G, R
S, P
J, I
L, A
W, B
F, Q
D, F
C, P
V, Y
G, C
S, I
S, G
E, G
H, L
Q, H
U, C
Z, K
E, L
N, T
T, V
U, A
J, W
T, X
P, D
S, G
M, L
J, P
B, D
M, E
E, A
N, S
M, Y
Y, Z
J, M
Q, P
K, B
X, K
O, F
L, G
X, S
N, M
R, S
Q, Y
T, G
A, V
Q, R
S, Q
G, L
R, G
P, Y
V, A
U, Q
X, K
P, X
N, E
K, V
G, H
Z, R
J, I
K, W
S, C
Q, U
I, D
T, Y
K, I
Z, V
A, B
S, N
R, T
E, J
S, F
E, Y
L, V
E, B
E, T
G, X
K, Q
Q, W
E, H
J, H
I, P
M, R
C, B
T, A
P, Z
C, N
A, P
Z, T
Y, M
I, L
J, X
Z, V
Y, R
J, B
J, I
C, L
S, S
X, D
P, W
H, S
V, J
Q, R
M, K
E, Z
Y, V
A, J
B, U
I, L
P, K
P, C
L, Y
Y, Z
W, X
T, H
F, D
N, O
W, N
D, U
H, R
O, W
E, L
D, R
G, F
T, R
C, L
S, E
Y, X
T, F
G, M
X, D
D, N
S, C
R, W
Y, T
P, Q
J, S
T, J
Q, O
W, V
F, D
C, C
T, Y
T, D
J, W
Y, O
A, B
N, W
Z, I
J, R
U, N
P, F
K, N
L, D
Y, V
M, L
P, D
R, U
S, P
I, Z
D, Z
S, M
V, M
S, J
Z, I
V, F
T, V
S, B
W, E
M, K
Z, R
W, Z
O, I
R, Z
T, K
N, H
S, F
W, K
D, T
P, U
W, S
L, E
D, S
H, D
F, T
T, A
S, O
R, Z
D, Y
L, V
Y, C
Z, E
B, Z
Q, P
Z, Q
K, A
G, M
R, Y
Q, J
R, U
R, U
W, Q
H, Q
J, D
C, M
R, N
A, O
O, H
T, U
E, M
Q, L
O, C
B, X
U, E
V, A
O, N
V, M
N, P
S, U
D, T
Z, X
E, P
E, O
U, D
D, F
E, O
W, A
Z, N
J, O
K, Y
A, H
Y, N
U, R
L, P
S, N
Z, J
N, F
C, V
G, E
H, V
Y, P
F, J
D, Q
B, G
J, X
K, C
G, L
S, N
B, T
Z, S
F, J
R, V
P, K
D, Z
L, A
P, C
D, C
O, B
Q, J
I, H
W, F
A, J
Z, J
C, Y
E, S
H, V
M, N
S, W
O, P
X, E
Y, K
I, T
Z, N
P, W
M, D
A, N
E, D
J, T
B, S
Z, S
G, P
S, E
Z, U
N, H
L, Y
W, V
H, W
Y, K
I, C
C, S
Y, E
B, T
O, M
W, Z
L, N
T, M
N, Z
X, S
K, Q
X, T
S, S
T, G
T, Y
V, W
N, P
P, Z
R, W
N, F
B, V
N, Y
K, J
J, C
X, G
O, T
D, H
H, F
T, O
F, H
Y, Q
V, A
M, Q
M, J
Q, I
J, A
X, E
J, C
M, C
N, D
D, M
E, R
F, K
H, L
E, V
C, L
V, E
J, L
J, W
F, E
B, K
T, X
E, F
M, R
G, K
O, U
S, I
T, W
N, Y
V, K
C, C
A, E
N, T
G, R
I, Z
T, L
H, M
T, G
D, N
G, T
W, Z
G, V
F, S
V, S
N, E
Z, P
Q, F
D, A
Z, Y
L, Q
C, B
K, H
Q, G
I, M
N, Q
H, H
H, J
K, I
B, B
B, T
F, M
X, C
E, Y
J, H
C, A
O, W
I, T
J, U
N, J
Q, F
J, X
D, T
D, P
X, R
E, S
Y, B
O, I
S, Z
F, S
B, E
O, G
W, W
X, Z
X, L
S, X
B, K
Y, N
A, P
S, D
B, O
U, S
T, K
R, W
Z, E
T, J
U, K
H, E
E, F
S, W
U, L
S, N
H, F
S, O
E, B
G, B
D, W
Y, H
U, Q
G, V
N, A
J, P
J, C
S, O
S, K
P, I
B, V
V, F
Z, E
Z, N
Z, U
U, C
T, J
Q, W
Q, O
V, F
G, P
V, T
E, G
S, J
X, C
E, E
W, E
M, S
Q, A
E, E
K, P
B, B
G, X
Z, C
N, S
V, P
J, A
V, T
Q, B
G, C
D, Q
A, Z
Y, C
T, I
S, F
M, O
L, E
I, E
B, R
Q, D
V, C
H, N
V, D
X, A
L, D
R, F
W, K
W, V
C, E
C, C
Y, J
Q, D
Y, X
X, P
E, N
P, R
D, R
H, V
J, C
X, R
Y, V
S, B
A, Y
D, R
I, K
S, U
M, B
P, Y
H, C
Z, E
K, I
L, S
K, U
I, U
R, G
K, M
N, N
V, K
P, K
P, S
T, S
G, A
Z, A
O, Y
X, B
J, W
W, V
H, D
W, Z
X, G
V, B
D, Z
S, J
A, Z
J, S
R, B
V, W
A, J
C, C
O, V
D, E
T, T
S, H
K, I
U, S
H, E
W, A
T, N
A, V
R, W
O, V
X, N
S, L
E, Z
N, Z
D, F
Q, F
E, T
O, V
V, M
I, Q
V, E
U, Q
F, C
C, P
W, A
H, O
B, P
T, I
O, Q
A, G
Z, O
O, U
B, I
Y, A
J, H
K, F
T, S
Z, S
C, K
T, C
U, D
P, J
P, W
H, D
M, X
C, S
W, U
R, T
E, Z
N, S
Q, Y
I, U
I, J
W, L
X, U
K, F
P, B
D, Q
M, U
D, W
O, Z
U, C
C, I
Y, E
H, J
C, E
U, G
M, G
W, Q
D, D
O, B
W, K
W, X
D, J
V, Y
J, R
N, G
W, R
Q, Q
T, G
V, A
W, H
E, K
B, K
M, C
M, Q
X, M
C, T
X, X
T, F
I, I
Z, M
S, M
H, A
E, M
Q, I
A, P
J, Y
J, L
M, B
W, Y
R, H
Q, C
B, K
H, S
W, N
R, G
V, C
X, I
T, E
J, K
M, R
E, S
J, S
K, A
U, P
C, R
Q, I
Z, Y
T, T
I, D
L, D
W, C
Z, K
N, A
L, V
D, L
Z, C
F, Z
K, O
E, J
J, Y
Z, O
A, V
A, X
N, W
S, Q
L, K
J, O
N, T
C, E
L, E
P, O
J, V
R, L
H, Q
Y, W
Z, U
C, Q
Q, K
M, T
Y, C
L, P
A, H
K, F
L, J
F, M
D, Z
X, K
V, S
T, A
J, F
H, W
G, V
U, K
G, X
K, A
D, J
V, V
P, I
Y, Z
G, Z
F, Q
V, U
P, D
Q, Z
E, X
N, L
C, U
N, Q
U, V
Q, G
O, Y
F, C
L, Q
P, A
S, X
C, J
T, D
L, Q
J, G
X, H
N, G
U, U
U, R
H, Y
Q, Q
P, C
L, P
C, H
X, C
M, J
V, K
M, A
B, Y
B, R
J, I
X, V
E, A
E, O
P, A
Z, Z
M, P
O, E
T, Y
F, A
A, N
D, W
C, F
I, F
S, Y
G, M
Y, J
O, H
T, M
N, K
F, E
R, X
H, K
P, T
I, U
Y, M
W, L
T, V
Q, P
L, O
J, Q
B, E
A, N
P, H
V, Q
Z, J
A, E
I, U
J, B
R, J
U, D
I, A
I, M
U, X
O, K
P, N
C, H
P, W
W, B
X, K
T, I
I, F
U, M
Z, K
D, E
I, J
O, H
Q, W
Z, X
H, V
K, X
X, B
Q, B
C, U
S, H
T, K
O, I
P, K
S, L
W, Z
D, J
Q, A
B, A
C, I
R, L
E, E
X, J
X, Z
Y, W
G, U
C, Y
B, I
P, V
H, E
D, L
D, W
T, X
Z, K
L, D
N, P
R, Z
I, T
F, G
H, C
O, W
R, T
F, C
Z, B
A, F
V, E
C, F
P, N
W, T
I, L
E, N
X, F
J, Z
W, N
U, E
H, E
H, W
Q, D
W, T
G, X
E, A
R, L
G, Y
C, L
D, N
N, B
H, C
Q, T
K, H
K, P
N, M
L, R
Q, Y
F, B
A, G
B, C
F, Q
S, K
C, T
W, G
F, U
J, H
P, T
C, N
S, M
H, X
G, I
B, E
X, D
A, M
I, E
G, C
R, W
P, Z
P, M
G, C
V, O
Z, V
N, E
D, C
H, T
L, T
Z, G
M, J
A, J
S, X
U, W
X, P
C, R
S, A
Z, W
R, D
M, G
T, Z
J, T
F, Y
Q, Z
W, R
X, L
Y, N
G, R
X, K
K, Z
I, B
N, I
P, L
L, Z
U, H
Z, M
R, M
D, Z
Q, R
H, H
U, A
B, H
P, B
H, L
R, A
G, J
H, W
R, T
E, C
H, Z
F, P
C, F
M, J
V, Q
K, Z
C, G
H, I
O, R
I, P
R, F
D, O
H, C
O, Q
O, J
W, L
D, L
I, Y
S, M
L, K
K, A
O, Y
K, T
P, H
G, N
D, O
O, H
T, K
K, A
U, W
L, B
B, V
Q, I
C, H
M, I
B, T
R, T
B, F
D, T
M, F
R, W
H, I
Z, A
M, R
C, A
P, D
C, F
M, V
L, B
D, K
Z, V
V, O
V, R
W, Q
L, Q
E, V
R, E
T, O
M, H
R, Y
M, R
K, S
C, K
L, A
L, O
A, H
Q, X
Q, B
X, Z
M, S
H, Z
J, W
N, J
S, K
B, R
J, S
I, S
U, H
T, H
K, X
Q, J
M, R
O, Y
U, N
D, I
Y, J
Q, K
B, W
E, C
C, Y
M, T
Z, V
T, G
X, E
X, T
K, B
P, C
W, B
T, P
V, Y
I, S
J, Z
O, F
G, L
H, F
E, V
V, E
P, Q
R, F
V, X
J, K
O, B
E, S
X, Q
M, V
O, M
J, Q
O, D
B, L
J, B
C, U
H, D
F, P
I, F
Y, X
G, S
B, W
Z, B
O, W
Y, N
K, B
S, C
M, X
G, A
I, G
I, T
D, O
T, Y
R, W
G, B
:), :(
